唐诗-七言古诗,陈子昂,《登幽州台歌》,前不见古人，后不见来者。D念天地之悠悠，独怆然而涕下。DDD,【注解】：D1.幽州台：即黄金台，又称蓟北楼，故址在今北京市大兴。燕昭王为招纳天下贤士而建。D2.前：向前看。D3.古人、来者：那些能够礼贤下士的贤明君主。指：燕昭王D4.念：想到。D5.悠悠：形容时间的久远和空间的广大。D6.怆然：悲伤的样子。D7.涕：古时指眼泪，此指流泪。涕下:流眼泪DDD【韵译】：D先代的圣君，我见也没见到，D后代的明主，要等到什么时候？D想到宇宙无限渺远，我深感人生短暂，D独自凭吊，我涕泪纵横凄恻悲愁！D【意译】D回头看看哪有古代贤明君主的踪影，放眼望去也不见一个礼贤下士的君主，我真是生不逢时啊。想到天悠悠而高远、地悠悠而广袤的天地之间，我独自忧伤啊，让人禁不住泪流满面沾湿了衣襟！DDD【评析】：D       诗人具有政治见识和政治才能，他直言敢谏，但没有被武则天所采纳，屡受打击，心情郁郁悲愤。诗写登上幽州的蓟北楼远望，悲从中来，并以“山河依旧，人物不同”来抒发自己“生不逢辰”的哀叹。语言奔放，富有感染力。在艺术表现上，前两句是俯仰古今，写出时间的绵长；第三句登楼眺望，写空间的辽阔无限；第四句写诗人孤单悲苦的心绪。这样前后相互映照，格外动人。句式长短参错，音节前紧后舒，这样抑扬变化，互相配合，大大增强了艺术感染力。
D唐诗-五言律诗,常建,《破山寺后禅院》,清晨入古寺，初日照高林。D曲径通幽处，禅房花木深。D山光悦鸟性，潭影空人心。D万籁此俱寂，惟闻钟磬音。DD,【注解】：D１、破山寺：即兴福寺，今江苏省常熟市北。D２、万籁：一切声响。D３、磬：和尚念经时敲的一种乐器。DDD【韵译】：D清晨我信步来到破山寺，D朝阳映照着高高的树林。D曲折山道通向幽静处所，D禅房深藏之处花卉缤纷。D山光秀丽怡悦群鸟性情，D碧潭映影净化人的心灵。D自然界的声音全然消失，D只听到院里的钟磬声音……DDD【评析】：D       诗旨在赞美后禅院景色之幽静，抒发寄情山水之胸怀。诗人清晨登常熟县的破山，入破山寺（即兴福寺），在旭日初升、光照山林的景色中，表露礼赞佛宇之情。然后走到幽静的后院，面对美妙的佳境，忘情地欣赏，寄托自己遁世情怀。“曲径通幽处，禅房花木深”，意境尤其静净。起句对偶，颔联反而对得不工整，虽属五律，却有古体诗的风韵。
D唐诗-五言律诗,岑参,《寄左省杜拾遗》,联步趋丹陛，分曹限紫微。D晓随天仗入，暮惹御香归。D白发悲花落，青云羡鸟飞。D圣朝无阙事，自觉谏书稀。DD,【注解】：D１、趋：小步而行，表示上朝时的敬意。D２、丹陛：宫殿前涂红漆的台阶。D３、分曹句：时岑参为右补阙，属中书省，在殿庑之右，称右省，也称紫徽省。紫D微：本指星座，因其成屏藩的形状，故取象以为喻。微：一作薇。曹：官署。D限：界限。D４、阙：通“缺”。补阙和拾遗都是谏官，意思就是以讽谏弥补皇帝的缺失。DDD【韵译】：D我们并排走向朝廷的红色台阶，D然后分别站在左省右省的列队。D拂晓随着宫廷仪仗队进去朝拜，D黄昏时浑身沾满御炉香气回归。D满头白发力不从心为落花流泪，D羡慕别人如鸟入青云展翅高飞。D贤明的朝廷没有什么阙事遗漏，D自己觉得谏议的奏书越来越稀。DDD【评析】：D       唐肃宗至德二年（７５７），诗人由杜甫的推荐而任右补阙。次年写此诗。诗是投赠友人杜甫的。因而描写谏议官左拾遗的官场生活。然后自伤迟暮，无法尽力，规劝别人继续进取。笔法隐晦，曲折地抒发内心之忧愤。词藻艳丽，雍容华贵。
D唐诗-五言律诗,李白,《赠孟浩然》,吾爱孟夫子，风流天下闻。D红颜弃轩冕，白首卧松云。D醉月频中圣，迷花不事君。D高山安可仰，徒此揖清芬。DD,【注解】：D１、红颜：指年青的时候。D２、轩冕：指官职，轩：车子；冕：高官戴的礼帽。D３、卧松云：隐居。D４、中圣：中酒，就是喝醉的意思，D５、清芬：指美德。DDD【韵译】：D我敬重孟浩然先生的庄重潇洒，D他为人高尚风流倜傥闻名天下。D少年时鄙视功名不爱官冕车马，D高龄白首又归隐山林摒弃尘杂。D明月夜常常饮酒醉得非凡高雅，D他不事君王迷恋花草胸怀豁达。D高山似的品格怎么能仰望着他？D只在此揖敬他芬芳的道德光华！DDD【评析】：D       全诗推崇孟浩然风雅潇洒的品格。首联点题，抒发了对孟浩然的钦慕之情；二、三两联描绘了孟浩然摒弃官职，白首归隐，醉月中酒，迷花不仕的高雅形象；尾联直接抒情，把孟氏的高雅比为高山巍峨峻拔，令人抑止。诗采用抒情──描写──抒情的方式，以一种舒展唱叹的语调，表达诗人的敬慕之情。
D唐诗-五言律诗,李白,《渡荆门送别》,渡远荆门外，来从楚国游。D山随平野尽，江入大荒流。D月下飞天镜，云生结海楼。D仍怜故乡水，万里送行舟。DD,【注解】：D１、荆门：山名，在湖北省宜都县西北。D２。海楼：海市蜃楼。D３、故乡水：指长江，李白早年住在四川，故有此言。DDD【韵译】：D自剑门之外的西蜀沿江东下，D来到了楚国境内作一次旅游。D崇山随着荒野出现渐渐逝尽，D长江进入了莽原也缓缓而流。D月影倒映江中象是飞来天镜，D云层缔构城郭幻出海市蜃楼。D我依然怜爱这来自故乡之水，D行程万里继续漂送我的行舟。DDD【评析】：D       唐开元十四年（７２６），诗人怀着“仗剑去国，辞亲远游”之情，出蜀东下，此诗即在旅游途中所作。从诗意看，诗人与送行者同舟共发，是在舟中吟送的。清朝沈德潜认为，诗中无“送别”意，题中“送别”二字可删，是不确的。这首诗虽意在描绘山水，然而仔细揣摩，“送别”之意犹在，足见椽笔功夫。“山随平野尽，江入大荒流”与杜甫的“星垂平野阔，月涌大江流”，可比功力。或认为李是行舟流览，杜则停舟细看。此说颇是在理。
D唐诗-五言律诗,李白,《送友人》,青山横北郭，白水绕东城。D此地一为别，孤蓬万里征。D浮云游子意，落日故人情。D挥手自兹去，萧萧班马鸣。DD,【注解】：D１、郭：城墙外的墙，指城外。D２、蓬：草名，枯后随风飘荡，这里喻友人。D３、兹：现在。D４、班：分别。DDD【韵译】：D青山横卧在城郭的北面，D白水泱泱地环绕着东城。D在此我们一道握手言别，D你象蓬草飘泊万里远征。D游子心思恰似天上浮云，D夕阳余晖可比难舍友情。D频频挥手作别从此离去，D马儿也为惜别声声嘶鸣……DDD【评析】：D       这是首送别诗，充满诗情画意。首联工对，写得别开生面。先写作别处的山水：青山横亘外城之北，白水环绕东城潺流。此两句以“青山”对“白水”，“北郭”对“东城”。“青”、“白”相间，色彩明丽。“横”字刻出山之静态，“绕”字画出水之动态。如此描摹，挥洒自如，秀丽清新。中间二联切题，写分手时的离情别绪。前两句写对朋友飘泊生涯的关切，落笔如行云流水，舒畅自然。后两句写依依惜别的心情，巧妙地以“浮云”、“落日”作比，来表明心意。写得有景有情，情景交融。尾联更进一层，抒发难舍难分的情绪。化用：《诗经·小雅·车攻》“萧萧马鸣”句，嵌入“班”字，写出马犹不愿离群，何况人乎？烘出缱绻情谊，真是鬼斧神工。诗写得新颖别致，丰采殊异。色彩鲜艳，语言流畅，情意宛转含蓄，自然美与人情美水乳交融，别是一番风味。
D唐诗-五言律诗,李白,《听蜀僧浚弹琴》,蜀僧抱绿绮，西下峨嵋峰。D为我一挥手，如听万壑松。D客心洗流水，余响入霜钟。D不觉碧山暮，秋云暗几重。DD,【注解】：D１、绿绮：琴名。晋傅玄《琴赋序》：“司马相如有绿绮。”相如是蜀人，弹者是蜀D僧，故以绿绮切之。D２、一：加强语气的助词。D３、挥手：指弹琴。D４、流水：相传春秋时钟子期能听出伯牙琴中的曲意，时而是志在高山，时而是志在D流水，伯牙乃许为知音。见《列子·汤问篇》。这句是说，客中的情怀，听了D“高山流水”的曲意，为之一洗。D５、霜钟：指钟声，《山海经》：丰山“有九种焉，是知霜鸣”。郭璞注：“霜降则D钟鸣，故言知也。”入霜钟：余音与钟声交流，兼喻入知音者之耳。DDD【韵译】：D四川僧人抱弹名琴绿绮，D他是来自巴蜀的峨嵋峰。D他为我挥手弹奏了名曲，D好象听到万壑松涛雄风。D高山流水音调一洗情怀，D袅袅余音融入秋天霜钟。D不知不觉青山已披暮色，D秋去也似乎暗淡了几重！DDD【评析】：D       此诗是写听蜀地一位和尚弹琴，极写琴声之入神。开头两句，写他来自故乡四川，表达对他的倾慕。颔联写弹琴，以大自然的万壑松涛声作比，令人感到琴声之不凡。颈联写琴声荡涤胸怀，使人心旷神怡，回味无穷。尾联写聚精会神听琴，而不知时日将尽，反衬弹琴之高妙诱人。全诗一气呵成，势如行云流水，明快畅达。
D唐诗-五言律诗,李白,《夜泊牛渚怀古》,牛渚西江夜，青天无片云。D登舟望秋月，空忆谢将军。D余亦能高咏，斯人不可闻。D明朝挂帆去，枫叶落纷纷。DD,【注解】：D１、西江：古称约自南京至今江西一段长江为西江，牛绪也在西江这一段中。D２、谢将军：东晋谢尚，今河南太康县人，官镇西将军，镇守牛渚时，秋夜泛舟赏D月，适袁宏在运租船中涌已作《咏史》诗，音辞都很好，遂大加赞赏，邀其前来，D谈到天明。DDD【韵译】：D秋夜行舟停泊在西江牛渚山，D天空湛蓝湛蓝没有一丝游云。D我登上小船仰望明朗的秋月，D徒然记起了东晋的谢尚将军。D我也是一个善于吟唱的高手，D但识贤的谢尚如今难得有闻。D知音难遇明早只好挂帆远去，D前景宛若深秋枫叶飘落纷纷。DDD【评析】：D       望月怀古，抒发不遇知音之伤感。首联开门见山点明“牛渚夜泊”及其夜景；颔联由望月过渡到怀古。从谢尚闻袁宏“咏史”事件中，领略到对于文学的爱好和对才能的尊重，是与地位高低无关的。颈联是由怀古回到现实，发出感慨，抒发不遇知音的深沉感喟。末联宕开写景，想象明朝挂帆远去的情景，烘托不遇知音之凄凉寂寞。写景清新隽永而不粉饰抒情豪爽豁达而不忸怩作态。诗为五律，却无对偶。有人认为李白才高，放逸不羁，兴之所至，随口讽诵，不顾及对偶。此说自有其理。
D唐诗-五言律诗,杜甫,《春望》,国破山河在，城春草木深。D感时花溅泪，恨别鸟惊心。D烽火连三月，家书抵万金。D白头搔更短，浑欲不胜簪。DD,【注解】：D１、国破：指国都长安被叛军占领。D２、感时句：因感叹时事，见到花也会流泪。D３、浑：简直。D４、不胜簪：因头发短少，连簪子也插不上。DDD【韵译】：D长安沦陷国家破碎，只有山河依旧，D春天来了城空人稀，草木茂密深沉。D感伤国事面对繁花，难禁涕泪四溅，D亲人离散鸟鸣惊心，反觉增加离恨。D立春以来战火频连，已经蔓延三月，D家在州音讯难得，一信抵值万金。D愁绪缠绕搔头思考，白发越搔越短，D头发脱落既短又少，简直不能插簪。DDD【评析】：D       唐玄宗天宝十五年（７５６）七月，安史叛军攻陷长安，肃宗在灵武即位，改元至德。杜甫在投奔灵武途中，被叛军俘至长安，次年（至德二年）写此诗。诗人目睹沦陷后的长安之箫条零落，身历逆境思家情切，不免感慨万端。诗的一、二两联，写春城败象，饱含感叹；三、四两联写心念亲人境况，充溢离情。全诗沉着蕴藉，真挚自然，反映了诗人热爱祖国，眷怀家人的感情。今人徐应佩、周溶泉等评此诗曰：“意脉贯通而平直，情景兼备而不游离，感情强烈而不浅露，内容丰富而不芜杂，格律严谨而不板滞。”此论颇为妥帖。“家书抵万金”亦为流传千古之名言。
D唐诗-五言律诗,杜甫,《月夜》,今夜鄜州月，闺中只独看。D遥怜小儿女，未解忆长安。D香雾云鬟湿，清辉玉臂寒。D何时倚虚幌，双照泪痕干！DD,【注解】：D１、州：现陕西省富县。D２、云鬟：妇女的鬓发。D３、清辉：指月光。D４、虚幌：薄而透明的帷帐。D５、双照：月光照着诗人和妻子。DDD【韵译】：D今晚圆圆的秋月多么皎洁美好，D你在州闺中却只能一人独看。D我遥想那些可爱的小儿幼女们，D还不理解你望月怀人思念长安！D夜深露重你乌云似的头发湿了？D月光如水你如玉的臂膀可受寒？D何时能依偎共赏轻纱般的月华？D让月华照干我俩满是泪痕的脸！DDD【评析】：D       这首诗作于至德元年（７５６）。是年八月，杜甫携家逃难州，自己投奔灵武的肃宗行在，被叛军掳至长安。诗是秋天月夜的怀妻之作。望月怀思，自古皆然。但诗人不写自己望月怀妻，却设想妻子望月怀念自己，又以儿女（因为年幼）“未解母亲忆长安”之意，衬出妻之“孤独”凄然，进而盼望聚首相倚，双照团圆。反映了乱离时代人民的痛苦之情。词旨婉切，章法紧密，写离情别绪，感人肺腑。
D唐诗-五言律诗,杜甫,《春宿左省》,花隐掖垣暮，啾啾栖鸟过。D星临万户动，月傍九霄多。D不寝听金钥，因风想玉珂。D明朝有封事，数问夜如何？DD,【注解】：D１、掖垣：因门下省、中书省地处左右两边，像人的两掖，门下省为左掖。D２、金钥；指开宫门的锁钥声。D３、珂：马铃。D４、封事：臣下上书奏事，防有泄漏，用黑色袋子密封，故称。DDD【韵译】：D左偏殿矮墙遮隐花丛，日已将暮，D投宿的鸟儿，一群群鸣叫着飞过。　D星临宫中，千门万户似乎在闪烁，D靠近天廷，所得的月光应该更多。D夜不敢寝，听到宫门开启的钥锁，D晚风飒飒，想起上朝马铃的音波。D明晨上朝，还有重要的大事要做，D心里不安，多次地探问夜漏几何？DDD【评析】：D       诗作于左拾遗任上，记叙了诚敬值宿，夜不敢寐的实况。反映了这时诗人不过是个小心谨慎的官吏罢了，字里行间也流露诗人的忠爱之情。诗开头两联写景，后两联写情。自幕至夜，再自夜至晓，自晓至明，结构严谨而又灵活，叙述详明而有变化。
D唐诗-五言律诗,杜甫,《至德二载,甫自京金光门出,间道归凤翔,乾元初从左拾遗移华州掾,与亲故别,因出此门,有悲往事》,此道昔归顺，西郊胡正繁。D至今残破胆，应有未招魂。D近得归京邑，移官岂至尊。D无才日衰老，驻马望千门。DD,【注解】：D１、此道：指金光门。D２、昔归顺：指至德二载投奔翔时，长安西边的胡骑正甚繁乱。D３、胡：这里指安禄山部队。D４、近得：指拜左拾遗。D５、京邑：指华州，因系畿县，距京城长安不远。D６、移官句：这里固指贺兰进明之进谗，其实也多少含有对肃宗的牢骚。岂至尊：岂D出皇帝之意。D７、千门：原指宫中的门户，这里借代宫殿。DDD【韵译】：D当年由金光门这条路，去投奔凤翔，D长安西郊，到处是安史叛军正作乱。D直到如今想起来，仍叫人心惊胆颤，D有人神魂尚未招回，依然诚恐诚惶。D我拜近得左拾遗，回到了京畿地方，D贬我华州掾，这旨意难道出自至尊。D算了吧，我这庸才已逐日衰老鬓苍，D告别长安，驻马回望千门宫殿檐房！DDD【评析】：D       至德二载（７５７），作者自金光门出，由小路投奔凤翔肃宗，任左拾遗，十月随肃宗返长安。次年──乾元元年（７５８），被贬华州任司功参军，又出金光门，感慨万端。然而作者在诗中写道“移官岂至尊？”不敢归怨于君，而以“无才日衰老”自责。不忍去君，留恋故职，见得分明。
D唐诗-五言律诗,杜甫,《月夜忆舍弟》,戌鼓断人行，秋边一雁声。D露从今夜白，月是故乡明。D有弟皆分散，无家问死生。D寄书长不达，况乃未休兵。DD,【注解】：D１、戌鼓：戌楼上的更鼓。D２、边秋：一作“秋边”，秋天的边境。D３、长：一直，老是。DDD【韵译】：D戌楼响过更鼓，路上断了行人形影，D秋天的边境，传来孤雁悲切的鸣声。D今日正是白露，忽然想起远方兄弟，D望月怀思，觉得故乡月儿更圆更明。D可怜有兄弟，却各自东西海角天涯，D有家若无，是死是生我何处去打听？D平时寄去书信，常常总是无法到达，D更何况烽火连天，叛乱还没有治平。DDD【评析】：D       诗作于乾元二年（７５９），这时安史之乱尚未治平，作教师于战乱中，颠沛流离，历尽国难家忧，心中满腔悲愤。望秋月而思念手足兄弟，寄托萦怀家国之情。全诗层次井然，首尾照应，结构严密，环环相扣，句句转承，一气呵成。“露从今夜白，月是故乡明”句，可见造句，的神奇矫健。
D唐诗-五言律诗,杜甫,《天末怀李白》,凉风起天末，君子意如何。D鸿雁几时到，江湖秋水多。D文章憎命达，魑魅喜人过。D应共冤魂语，投诗赠汨罗。DD,【注解】：D１、天末：犹天边；D２、君子：指李白。D３、文章句：意谓有文才的人总是薄命遭忌。D４、魑魅句：意谓山精水鬼在等着你经过，以便出而吞食，犹“水深波浪阔，无使蛟D龙得”。一憎一喜，遂令诗人无置身地。D５、应共句：因屈原被谗含冤，投江而死，与李白之受枉窜身，有共通处，往夜郎又D须经过汨罗，故也应有可以共语处。D６、汨罗：汨罗江，屈原自沉处，在今湖南湘阴县。DDD【韵译】：D凉风习习来自天边的夜郎，D老朋友啊你心情可还舒畅。D鸿雁何时能捎来你的音信？D江湖水深总有不平的风浪！D有文才的人往往薄命遭忌，D鬼怪正喜人经过可作食粮。D你与屈原有共冤共语之处，D请别忘了投诗祭奠汨罗江！DDD【评析】：D       李白于至德二载（７５７），因永王 之罪受牵连，流放夜郎，行至巫山遇赦得还。杜甫于乾元二年（７５９）作此诗，眷怀李白，设想他当路经汨罗，因而以屈原喻之。其实，此时李已遇赦，泛舟洞庭了。因凉风而念故友，望秋雁而怀思。文人相重，末路相亲，跃然纸上。
D唐诗-五言律诗,杜甫,《奉济驿重送严公四韵》,远送从此别，青山空复情。D几时杯重把，昨夜月同行。D列郡讴歌惜，三朝出入荣。D江村独归处，寂寞养残生。DD,【注解】：D１、几时两句：这是倒装，意谓想起昨夜在月光下举杯送别的深情，不知几时重得此D会。D２、列郡：指东西两川属邑。D３、三朝：指玄宗、肃宗、代宗三朝；D４、出入荣：指严武迭居重位。D５、江村句：指送别后独自回到浣花溪边的草堂。DDD【韵译】：D远送严公到了奉济从此别离，D人去山空只有别情绵绵依依。D我们何时才能重新把盏长谈，D昨夜月下对杯倾衷多么投机！D巴蜀各郡讴歌惋惜你的离任，D连续三朝你任将相真不容易。D分手后我回到浣花溪边草堂，D越发觉得我这残生淡泊孤寂！DDD【评析】：D       这首诗意在送严武奉召还朝。诗人曾任严武幕僚，深得严武关怀，故别离之情依依，自不待言。诗的开头点明“远送”，可见意深情长。分手伤别，自然想到“昨夜”饯别情景，也想何时重逢。接着讴歌严武入相出将都有成就，受到人民的称赞。最后写送别后的心境的孤独无依。语言质朴含情，章法谨严有节。
D唐诗-五言律诗,杜甫,《别房太尉墓》,他乡复行役，驻马别孤坟。D近泪无干土，低空有断云。D对棋陪谢傅，把剑觅徐君。D唯见林花落，莺啼送客闻。DD,【注解】：D１、复行役：指一再奔走。D２、近泪句：意谓泪流处土为之不干。D３、把剑句：春秋时吴季札聘晋，路过徐国，心知徐君爱其宝剑，及还，徐君已死，D遂解剑挂在坟树上而去。意即早已心许。DDD【韵译】：D我东西漂泊，一再奔走他乡异土，D今日歇脚阆州，来悼别你的孤坟。D泪水沾湿了泥土，心情十分悲痛，D精神恍惚，就象低空飘飞的断云。D当年与你对棋，比你为晋朝谢安，D而今在你墓前，象季札拜别徐君。D不堪回首，眼前只见这林花错落，D离去时，听得黄莺啼声凄怆难闻。DDD【评析】：D       房在唐玄宗幸蜀时拜相。乾元元年（７５８）为肃宗所贬。杜甫曾为其上疏力谏，得罪肃宗，险遭杀害。宝应二年（７６３），房又进为刑部尚书，在路遇疾，卒于阆州。两年后。杜甫路过阆州，特为老友上坟，作此诗。这是一首悼亡诗，抒写感伤情怀。全诗叙述了生前的交往和坟前的哀悼。前四句写坟前哀愤，后四句写临别留连。诗写得雍容典雅，又一往情深。写房句句得体，写交往字字有情。知遇深情，渗透字里行间。
D唐诗-五言律诗,杜甫,《旅夜书怀》,细草微风岸，危樯独夜舟。D星垂平野阔，月涌大江流。D名岂文章著，官应老病休，D飘飘何所似，天地一沙鸥。DD,【注解】：D１、危樯：高耸的桅杆。D２、星垂句：远处的星星宛如低垂至地面，使原野更为辽阔。D３、月涌句：银色的月光映着奔流汹涌的长江。D４、沙鸥：水鸟名。DDD【韵译】：D微风轻轻地吹拂着江岸畔的细草，D深夜江边，泊着桅杆高耸的孤舟。D原野辽阔，天边的星星如垂地面，D明月在水中滚涌，才见大江奔流。D我的名气，难道是因为文章著称？D年老体弱，想必我为官也该罢休。D唉，我这飘泊江湖之人何以相比？D活象是漂零天地间一只孤苦沙鸥。DDD【评析】：D       诗作于代宗永泰元年（７６５），诗人由华州解职离成都去重庆途中。全诗流露了诗人奔波不遇之情。诗的前半写“旅夜”的情景。以写景展现境况和情怀，寓情于景之中。后半写“书怀”。抒发自己原有政治抱负，没有想到却是因为文章而得扬名四海，而宦途却因老病而被排挤。表现了内心飘泊无依的伤感，字字是泪，声声哀叹，感人至深。“星垂平野阔，月涌大江流”与李白的“山随平野尽，江入大荒流”有异曲同工之妙。
D唐诗-五言律诗,杜甫,《登岳阳楼》,昔闻洞庭水，今上岳阳楼。D吴楚东南坼，乾坤日夜浮。D亲朋无一字，老病有孤舟。D戎马关山北，凭轩涕泗流。DD,【注解】：D１、吴楚句：吴楚两地在我国东南；坼：分裂。D２、乾坤：指日、月。D３、戎马：指战争。D４、关山北：北方边境。D５、凭轩：靠着窗户。DDD【韵译】：D很早听过名扬海内的洞庭湖，D今日有幸登上湖边的岳阳楼。D大湖浩瀚象把吴楚东南隔开，D天地象在湖面日夜荡漾漂浮。D漂泊江湖亲朋故旧不寄一字，D年老体弱生活在这一叶孤舟。D关山以北战争烽火仍未止息，D凭窗遥望胸怀家国涕泪交流。DDD【评析】：D       代宗大历三年（７６８）之后，杜甫出峡漂泊两湖，此诗是登岳阳楼而望故乡，触景感怀之作。开头写早闻洞庭盛名，然而到幕年才实现目睹名湖的愿望，表面看有初登岳阳楼之喜悦，其实意在抒发早年抱负至今未能实现之情。二联是洞庭的浩瀚无边。三联写政治生活坎坷，漂泊天涯，怀才不遇的心情。末联写眼望国家动荡不安，自己报国无门的哀伤。写景虽只二句，却显技巧精湛，抒情虽暗淡落寞，却吞吐自然，毫不费力。
D唐诗-五言律诗,王维,《辋川闲居赠裴秀才迪》,寒山转苍翠，秋水日潺湲。D倚杖柴门外，临风听暮蝉。D渡头余落日，墟里上孤烟。D复值接舆醉，狂歌五柳前。DD,【注解】：D１、墟里：村落；D２、孤烟：炊烟。D２、接舆：这里北裴迪。DDD【韵译】：D寒山转变得格外郁郁苍苍，D秋水日日舒缓地流向远方。D我柱杖伫立在茅舍的门外，D迎风细听着那暮蝉的吟唱。D渡头那边太阳快要落山了，D村子里的炊烟一缕缕飘。D又碰到裴迪这个接舆酒醉，D在恰如陶潜的我面前讴狂。DDD【评析】：D       这是写景之诗，描绘了幽居山林，超然物外之志趣，因而以接舆比裴迪，以陶潜比自己。风光人物，交替行文，相映成趣，形成物我一体情景交融的艺术意境，抒发了闲居之乐和对友人的真切情谊。开头二句写景，着意刻画水色山光之可爱，虽深秋，山依然苍翠，水依旧潺流。三、四两句，转而写情。倚杖柴门，临风听蝉，神驰邈远，自由自在。五、六句又间写景致。渡头落日，墟里孤烟，地道山村风物。最后两句再写人情。接舆、五柳、洁身自好，高风脱俗。风光无限，加之人物疏狂，怎不叫人情趣陶然？！诗起句工对，颔联反而不对，实属不入格。喻守真疑为首联与颔联颠倒错乱，如若对调，则平仄格律既不失粘，且在意义上比较自然。“倚杖”句是看，接看“寒山”；“临风”句是听，接听“秋水”。此说有独到之处。
D唐诗-五言律诗,王维,《山居秋暝》,空山新雨后，天气晚来秋。D明月松间照，清泉石上流。D竹喧归浣女，莲动下渔舟。D随意春芳歇，王孙自可留。DD,【注解】：D１、螟：夜色。D２、浣女：洗衣服的女子。D３、春芳：春草。D４、歇：干枯。DDD【韵译】：D一场新雨过后，青山特别清朗，D秋天的傍晚，天气格外的凉爽。D明月透过松林撒落斑驳的静影，D清泉轻轻地在大石上叮咚流淌。D竹林传出归家洗衣女的谈笑声，D莲蓬移动了，渔舟正下水撒网。D任凭春天的芳菲随时令消逝吧，D游子在秋色中，自可留连徜徉。DDD【评析】：D       这是一首写山水的名诗，于诗情画意中寄托诗人的高洁情怀和对理想的追求。首联写山居秋日薄暮之景，山雨初霁，幽静闲适，清新宜人。颔联写皓月当空，青松如盖，山泉清冽，流于石上，清幽明净的自然美景。颈联写听到竹林喧声，看到莲叶分披，发现了浣女、渔舟。末联写此景美好，是洁身自好的所在。全诗通过对山水的描绘寄慨言志，含蕴丰富，耐人寻味。“明月松间照，清泉石上流”实乃千古佳句。
D唐诗-五言律诗,王维,《归嵩山作》,清川带长薄，车马去闲闲。D流水如有意，暮禽相与还。D荒城临古渡，落日满秋山。D迢递嵩高下，归来且闭关。DD,【注解】：D１、闲闲：从容貌。D２、迢递：远貌。D３、且闭关：有闭门谢客意。DDD【韵译】：D清沏溪流两岸林木枝茂叶繁，D我乘着车马安闲地归隐嵩山。D流水有意与我同去永不回返，D暮鸟有心跟我一起倦飞知还。D荒凉的城郭紧挨着古老渡口，D夕阳的余辉映着经秋的重山。D远远地来到嵩山下安家落户，D决心归隐谢绝来客把门闭关。DDD【评析】：D       这首诗是写辞官归隐途中所见的景色和心情。首联写归隐出发时的情景。颔联写水写鸟，其实乃托物寄情，写自己归山悠然自得之情，如流水归隐之心不改，如禽鸟至暮知还。颈联写荒城古渡，落日秋山，是寓情于景，反映诗人感情上的波折变化。末联写山之高，点明归隐之高洁和与世隔绝，不问世事的宗旨。写景写情并举，于写景中寄寓深情。层次整齐，景象萧瑟。
D唐诗-五言律诗,王维,《终南山》,太乙近天都，连山到海隅。D白云回望合，青霭入看无。D分野中峰变，阴晴众壑殊。D欲投人处宿，隔水问樵夫。DD,【注解】：D１、太乙：即“太一”，终南山主峰，也是终南山别名。DDD【韵译】：D巍巍的太乙山高接天都星，D山连着山一直蜿蜓到海边。D白云缭绕回望中合成一片，D青霭迷茫进入山中都不见。D中央主峰把终南东西隔开，D各山间山谷迥异阴晴多变。D想在山中找个人家去投宿，D隔水询问那樵夫可否方便？DDD【评析】：D       诗旨在咏叹终南山的宏伟壮大。首联写远景，以艺术的夸张，极言山之高远。颔联写近景，身在山中之所见，铺叙云气变幻，移步变形，极富含孕。颈联进一步写山之南北辽阔和千岩万壑的千形万态。末联写为了入山穷胜，想投宿山中人家。“隔水”二字点出了作者“远望”的位置。全诗写景、写人、写物，动如脱兔，静若淑女，有声有色，意境清新、宛若一幅山水画。
D唐诗-五言律诗,王维,《酬张少府》,晚年惟好静，万事不关心。D自顾无长策，空知返旧林。D松风吹解带，山月照弹琴。D君问穷通理，渔歌入浦深。DD,【注解】：D１、吹解带：吹着诗人宽衣解带时的闲散心情。D２、君问两句：这是劝张少府达观，也即要他象渔樵那样，不因穷通而有得失之患。DDD【韵译】：D晚年只图个安静的环境，D对世事件件都不太关心。D自认没有高策可以报国，D只好归隐到这幽静山林。D松风吹拂我且宽衣解带，D山月高照正好弄弦弹琴。D君若问穷困通达的道理，D请听水边深处渔歌声音！DDD【评析】：D       这是一首赠友诗。全诗着意自述“好静”之志趣。前四句全是写情，隐含着伟大抱负不能实现之后的矛盾苦闷心情。由于到了晚年。只好“惟好静”了。颈联写隐逸生活的情趣。末联是即景悟情，以问答形式作结，故作玄解，以不管作答。含蓄而富有韵味，洒脱超然、发人深省。全诗写情多于写景。三、四句隐含不满朝政之牢骚。
